ENSSHAT00000000001.1	ENSSHAG00000000001.1	CERCAM
ENSSHAT00000012018.1	ENSSHAG00000010228.1	
ENSSHAT00000012019.1	ENSSHAG00000010228.1	
ENSSHAT00000012020.1	ENSSHAG00000010229.1	
ENSSHAT00000012021.1	ENSSHAG00000010230.1	TMEM151A
ENSSHAT00000012022.1	ENSSHAG00000010231.1	
ENSSHAT00000012023.1	ENSSHAG00000010232.1	NDUFAF7
ENSSHAT00000012024.1	ENSSHAG00000010233.1	FAM126A
ENSSHAT00000012025.1	ENSSHAG00000010234.1	
ENSSHAT00000012026.1	ENSSHAG00000010235.1	
ENSSHAT00000012027.1	ENSSHAG00000010236.1	
ENSSHAT00000012028.1	ENSSHAG00000010237.1	
ENSSHAT00000012029.1	ENSSHAG00000010238.1	
ENSSHAT00000012030.1	ENSSHAG00000010239.1	MRPL40
ENSSHAT00000012031.1	ENSSHAG00000010240.1	CDSN
ENSSHAT00000012032.1	ENSSHAG00000010240.1	CDSN
ENSSHAT00000012033.1	ENSSHAG00000010241.1	SBNO2
ENSSHAT00000012034.1	ENSSHAG00000010242.1	USE1
ENSSHAT00000012035.1	ENSSHAG00000010243.1	
ENSSHAT00000012036.1	ENSSHAG00000010244.1	GOLGA5
ENSSHAT00000012037.1	ENSSHAG00000010245.1	CBX2
ENSSHAT00000012038.1	ENSSHAG00000010246.1	FAM160B1
ENSSHAT00000012039.1	ENSSHAG00000010246.1	FAM160B1
ENSSHAT00000012040.1	ENSSHAG00000010247.1	STEAP4
ENSSHAT00000012041.1	ENSSHAG00000010248.1	NPR1
ENSSHAT00000012042.1	ENSSHAG00000010249.1	SQSTM1
ENSSHAT00000012043.1	ENSSHAG00000010250.1	GPRC5D
ENSSHAT00000012044.1	ENSSHAG00000010251.1	
ENSSHAT00000012045.1	ENSSHAG00000010251.1	
ENSSHAT00000012046.1	ENSSHAG00000010252.1	
ENSSHAT00000012047.1	ENSSHAG00000010253.1	ERO1B
ENSSHAT00000012048.1	ENSSHAG00000010254.1	SPTLC3
ENSSHAT00000012049.1	ENSSHAG00000010255.1	
ENSSHAT00000012050.1	ENSSHAG00000010256.1	
ENSSHAT00000012051.1	ENSSHAG00000010257.1	
ENSSHAT00000012052.1	ENSSHAG00000010258.1	
ENSSHAT00000012053.1	ENSSHAG00000010259.1	
ENSSHAT00000012054.1	ENSSHAG00000010260.1	SIKE1
ENSSHAT00000012055.1	ENSSHAG00000010261.1	ZC3H7A
ENSSHAT00000012056.1	ENSSHAG00000010262.1	
ENSSHAT00000012057.1	ENSSHAG00000010263.1	SBDS
ENSSHAT00000012058.1	ENSSHAG00000010264.1	
ENSSHAT00000012059.1	ENSSHAG00000010265.1	AGMO
ENSSHAT00000012060.1	ENSSHAG00000010265.1	AGMO
ENSSHAT00000012061.1	ENSSHAG00000010265.1	AGMO
ENSSHAT00000012062.1	ENSSHAG00000010265.1	AGMO
ENSSHAT00000012063.1	ENSSHAG00000010266.1	TARS3
ENSSHAT00000012064.1	ENSSHAG00000010267.1	
ENSSHAT00000012065.1	ENSSHAG00000010267.1	
ENSSHAT00000012066.1	ENSSHAG00000010268.1	ORAI2
ENSSHAT00000012067.1	ENSSHAG00000010269.1	
ENSSHAT00000012068.1	ENSSHAG00000010269.1	
ENSSHAT00000012069.1	ENSSHAG00000010270.1	
ENSSHAT00000012070.1	ENSSHAG00000010271.1	TGFA
ENSSHAT00000012071.1	ENSSHAG00000010271.1	TGFA
ENSSHAT00000012072.1	ENSSHAG00000010272.1	NFX1
ENSSHAT00000012073.1	ENSSHAG00000010272.1	NFX1
ENSSHAT00000012074.1	ENSSHAG00000010272.1	NFX1
ENSSHAT00000012075.1	ENSSHAG00000010273.1	RPS6KA3
ENSSHAT00000012076.1	ENSSHAG00000010273.1	RPS6KA3
ENSSHAT00000012077.1	ENSSHAG00000010274.1	KCNK15
ENSSHAT00000012078.1	ENSSHAG00000010275.1	JKAMP
ENSSHAT00000012079.1	ENSSHAG00000010275.1	JKAMP
ENSSHAT00000012080.1	ENSSHAG00000010276.1	AGTPBP1
ENSSHAT00000012081.1	ENSSHAG00000010277.1	PGAM5
ENSSHAT00000012082.1	ENSSHAG00000010278.1	BCL2L11
ENSSHAT00000012083.1	ENSSHAG00000010279.1	STRIP2
ENSSHAT00000012084.1	ENSSHAG00000010279.1	STRIP2
ENSSHAT00000012085.1	ENSSHAG00000010280.1	PPP2R2A
ENSSHAT00000012086.1	ENSSHAG00000010281.1	AGAP3
ENSSHAT00000012087.1	ENSSHAG00000010282.1	
ENSSHAT00000012088.1	ENSSHAG00000010283.1	PALD1
ENSSHAT00000012089.1	ENSSHAG00000010284.1	
ENSSHAT00000012090.1	ENSSHAG00000010285.1	ABLIM3
ENSSHAT00000012091.1	ENSSHAG00000010285.1	ABLIM3
ENSSHAT00000012092.1	ENSSHAG00000010286.1	TARS2
ENSSHAT00000012093.1	ENSSHAG00000010287.1	SOGA1
ENSSHAT00000012094.1	ENSSHAG00000010288.1	PIP4K2A
ENSSHAT00000012095.1	ENSSHAG00000010289.1	POLL
ENSSHAT00000012096.1	ENSSHAG00000010290.1	
ENSSHAT00000012097.1	ENSSHAG00000010291.1	
ENSSHAT00000012098.1	ENSSHAG00000010292.1	PLEKHA3
ENSSHAT00000012099.1	ENSSHAG00000010293.1	PGC
ENSSHAT00000012100.1	ENSSHAG00000010294.1	
ENSSHAT00000012101.1	ENSSHAG00000010295.1	
ENSSHAT00000012102.1	ENSSHAG00000010295.1	
ENSSHAT00000012103.1	ENSSHAG00000010296.1	INO80E
ENSSHAT00000012104.1	ENSSHAG00000010297.1	COL6A3
ENSSHAT00000012105.1	ENSSHAG00000010297.1	COL6A3
ENSSHAT00000012106.1	ENSSHAG00000010298.1	CCDC112
ENSSHAT00000012107.1	ENSSHAG00000010299.1	UFD1
ENSSHAT00000012108.1	ENSSHAG00000010300.1	
ENSSHAT00000012109.1	ENSSHAG00000010301.1	KDM8
ENSSHAT00000012110.1	ENSSHAG00000010302.1	
ENSSHAT00000012111.1	ENSSHAG00000010303.1	ADSS1
ENSSHAT00000012112.1	ENSSHAG00000010304.1	
ENSSHAT00000012113.1	ENSSHAG00000010305.1	CENPA
ENSSHAT00000012114.1	ENSSHAG00000010305.1	CENPA
ENSSHAT00000012115.1	ENSSHAG00000010306.1	UXS1
ENSSHAT00000012116.1	ENSSHAG00000010307.1	IMPG2
ENSSHAT00000012117.1	ENSSHAG00000010307.1	IMPG2
ENSSHAT00000012118.1	ENSSHAG00000010308.1	NMNAT1
ENSSHAT00000012119.1	ENSSHAG00000010308.1	NMNAT1
ENSSHAT00000012120.1	ENSSHAG00000010309.1	CNIH2
ENSSHAT00000012121.1	ENSSHAG00000010310.1	SNX16
ENSSHAT00000012122.1	ENSSHAG00000010311.1	CSDC2
ENSSHAT00000012123.1	ENSSHAG00000010312.1	TRIQK
ENSSHAT00000012124.1	ENSSHAG00000010313.1	
ENSSHAT00000012125.1	ENSSHAG00000010314.1	
ENSSHAT00000012126.1	ENSSHAG00000010315.1	
ENSSHAT00000012127.1	ENSSHAG00000010316.1	PUDP
ENSSHAT00000012128.1	ENSSHAG00000010316.1	PUDP
ENSSHAT00000012129.1	ENSSHAG00000010317.1	ARFGEF2
ENSSHAT00000012130.1	ENSSHAG00000010317.1	ARFGEF2
ENSSHAT00000012131.1	ENSSHAG00000010318.1	
ENSSHAT00000012132.1	ENSSHAG00000010319.1	MELK
ENSSHAT00000012133.1	ENSSHAG00000010320.1	SCML2
ENSSHAT00000012134.1	ENSSHAG00000010320.1	SCML2
ENSSHAT00000012135.1	ENSSHAG00000010320.1	SCML2
ENSSHAT00000012136.1	ENSSHAG00000010321.1	PSMG2
ENSSHAT00000012137.1	ENSSHAG00000010322.1	ZFYVE28
ENSSHAT00000012138.1	ENSSHAG00000010322.1	ZFYVE28
ENSSHAT00000012139.1	ENSSHAG00000010323.1	SLC19A3
ENSSHAT00000012140.1	ENSSHAG00000010324.1	MASTL
ENSSHAT00000012141.1	ENSSHAG00000010325.1	
ENSSHAT00000012142.1	ENSSHAG00000010326.1	PCDHGC5
ENSSHAT00000012143.1	ENSSHAG00000010327.1	FUOM
ENSSHAT00000012144.1	ENSSHAG00000010328.1	EGFL8
ENSSHAT00000012145.1	ENSSHAG00000010329.1	THNSL2
ENSSHAT00000012146.1	ENSSHAG00000010330.1	SH3BGRL3
ENSSHAT00000012147.1	ENSSHAG00000010331.1	
ENSSHAT00000012148.1	ENSSHAG00000010332.1	KIF5C
ENSSHAT00000012149.1	ENSSHAG00000010333.1	
ENSSHAT00000012150.1	ENSSHAG00000010333.1	
ENSSHAT00000012151.1	ENSSHAG00000010334.1	PODNL1
ENSSHAT00000012152.1	ENSSHAG00000010335.1	ANKLE2
ENSSHAT00000012153.1	ENSSHAG00000010335.1	ANKLE2
ENSSHAT00000012154.1	ENSSHAG00000010336.1	TOGARAM2
ENSSHAT00000012155.1	ENSSHAG00000010337.1	
ENSSHAT00000012156.1	ENSSHAG00000010338.1	
ENSSHAT00000012157.1	ENSSHAG00000010338.1	
ENSSHAT00000012158.1	ENSSHAG00000010339.1	
ENSSHAT00000012159.1	ENSSHAG00000010339.1	
ENSSHAT00000012160.1	ENSSHAG00000010340.1	
ENSSHAT00000012161.1	ENSSHAG00000010341.1	
ENSSHAT00000012162.1	ENSSHAG00000010342.1	ARHGAP25
ENSSHAT00000012163.1	ENSSHAG00000010343.1	ZMYM3
ENSSHAT00000012164.1	ENSSHAG00000010344.1	SMAD4
ENSSHAT00000012165.1	ENSSHAG00000010345.1	GMPS
ENSSHAT00000012166.1	ENSSHAG00000010346.1	
ENSSHAT00000012167.1	ENSSHAG00000010346.1	
ENSSHAT00000012168.1	ENSSHAG00000010347.1	MEF2C
ENSSHAT00000012169.1	ENSSHAG00000010347.1	MEF2C
ENSSHAT00000012170.1	ENSSHAG00000010348.1	CTRC
ENSSHAT00000012171.1	ENSSHAG00000010349.1	
ENSSHAT00000012172.1	ENSSHAG00000010350.1	
ENSSHAT00000012173.1	ENSSHAG00000010350.1	
ENSSHAT00000012174.1	ENSSHAG00000010351.1	ARL14EP
ENSSHAT00000012175.1	ENSSHAG00000010352.1	ALKBH4
ENSSHAT00000012176.1	ENSSHAG00000010353.1	GRAMD1B
ENSSHAT00000012177.1	ENSSHAG00000010353.1	GRAMD1B
ENSSHAT00000012178.1	ENSSHAG00000010354.1	DAD1
ENSSHAT00000012179.1	ENSSHAG00000010355.1	
ENSSHAT00000012180.1	ENSSHAG00000010356.1	
ENSSHAT00000012181.1	ENSSHAG00000010357.1	
ENSSHAT00000012182.1	ENSSHAG00000010358.1	
ENSSHAT00000012183.1	ENSSHAG00000010358.1	
ENSSHAT00000012184.1	ENSSHAG00000010359.1	
ENSSHAT00000012185.1	ENSSHAG00000010360.1	MED21
ENSSHAT00000012186.1	ENSSHAG00000010361.1	
ENSSHAT00000012187.1	ENSSHAG00000010362.1	MTHFD1L
ENSSHAT00000012188.1	ENSSHAG00000010363.1	
ENSSHAT00000012189.1	ENSSHAG00000010364.1	AGPAT1
ENSSHAT00000012190.1	ENSSHAG00000010365.1	
ENSSHAT00000012191.1	ENSSHAG00000010366.1	TMBIM6
ENSSHAT00000012192.1	ENSSHAG00000010367.1	ECM1
ENSSHAT00000012193.1	ENSSHAG00000010367.1	ECM1
ENSSHAT00000012194.1	ENSSHAG00000010368.1	DOC2A
ENSSHAT00000012195.1	ENSSHAG00000010369.1	SLC35A1
ENSSHAT00000012196.1	ENSSHAG00000010370.1	PCSK2
ENSSHAT00000012197.1	ENSSHAG00000010371.1	PLAG1
ENSSHAT00000012198.1	ENSSHAG00000010372.1	BUB3
ENSSHAT00000012199.1	ENSSHAG00000010372.1	BUB3
ENSSHAT00000012200.1	ENSSHAG00000010372.1	BUB3
ENSSHAT00000012201.1	ENSSHAG00000010373.1	LRWD1
ENSSHAT00000012202.1	ENSSHAG00000010373.1	LRWD1
ENSSHAT00000012203.1	ENSSHAG00000010373.1	LRWD1
ENSSHAT00000012204.1	ENSSHAG00000010374.1	
ENSSHAT00000012205.1	ENSSHAG00000010375.1	
ENSSHAT00000012206.1	ENSSHAG00000010376.1	RAB1B
ENSSHAT00000012207.1	ENSSHAG00000010377.1	
ENSSHAT00000012208.1	ENSSHAG00000010378.1	RIMS4
ENSSHAT00000012209.1	ENSSHAG00000010379.1	
ENSSHAT00000012210.1	ENSSHAG00000010380.1	CC2D1A
ENSSHAT00000012211.1	ENSSHAG00000010380.1	CC2D1A
ENSSHAT00000012212.1	ENSSHAG00000010381.1	CDH3
ENSSHAT00000012213.1	ENSSHAG00000010381.1	CDH3
ENSSHAT00000012214.1	ENSSHAG00000010382.1	
ENSSHAT00000012215.1	ENSSHAG00000010382.1	
ENSSHAT00000012216.1	ENSSHAG00000010383.1	EBI3
ENSSHAT00000012217.1	ENSSHAG00000010384.1	MMP21
ENSSHAT00000012218.1	ENSSHAG00000010385.1	HSF5
ENSSHAT00000012219.1	ENSSHAG00000010386.1	DNA2
ENSSHAT00000012220.1	ENSSHAG00000010386.1	DNA2
ENSSHAT00000012221.1	ENSSHAG00000010387.1	IDH1
ENSSHAT00000012222.1	ENSSHAG00000010388.1	
ENSSHAT00000012223.1	ENSSHAG00000010389.1	
ENSSHAT00000012224.1	ENSSHAG00000010390.1	
ENSSHAT00000012225.1	ENSSHAG00000010391.1	KCNJ10
ENSSHAT00000012226.1	ENSSHAG00000010392.1	
ENSSHAT00000012227.1	ENSSHAG00000010393.1	
ENSSHAT00000012228.1	ENSSHAG00000010393.1	
ENSSHAT00000012229.1	ENSSHAG00000010394.1	SNRPB
ENSSHAT00000012230.1	ENSSHAG00000010395.1	OSR1
ENSSHAT00000012231.1	ENSSHAG00000010396.1	CEBPZ
ENSSHAT00000012232.1	ENSSHAG00000010397.1	
ENSSHAT00000012233.1	ENSSHAG00000010398.1	ARHGEF7
ENSSHAT00000012234.1	ENSSHAG00000010398.1	ARHGEF7
ENSSHAT00000012235.1	ENSSHAG00000010399.1	
ENSSHAT00000012236.1	ENSSHAG00000010400.1	
ENSSHAT00000012237.1	ENSSHAG00000010400.1	
ENSSHAT00000012238.1	ENSSHAG00000010401.1	
ENSSHAT00000012239.1	ENSSHAG00000010402.1	
ENSSHAT00000012240.1	ENSSHAG00000010403.1	GOLGB1
ENSSHAT00000012241.1	ENSSHAG00000010403.1	GOLGB1
ENSSHAT00000012242.1	ENSSHAG00000010404.1	LHX1
ENSSHAT00000012243.1	ENSSHAG00000010405.1	RASL12
ENSSHAT00000012244.1	ENSSHAG00000010406.1	
ENSSHAT00000012245.1	ENSSHAG00000010407.1	
ENSSHAT00000012246.1	ENSSHAG00000010408.1	HSPA2
ENSSHAT00000012247.1	ENSSHAG00000010409.1	
ENSSHAT00000012248.1	ENSSHAG00000010410.1	EIF2AK4
ENSSHAT00000012249.1	ENSSHAG00000010410.1	EIF2AK4
ENSSHAT00000012250.1	ENSSHAG00000010411.1	WNT11
ENSSHAT00000012251.1	ENSSHAG00000010412.1	
ENSSHAT00000012252.1	ENSSHAG00000010413.1	ATF3
ENSSHAT00000012253.1	ENSSHAG00000010414.1	
ENSSHAT00000012254.1	ENSSHAG00000010415.1	
ENSSHAT00000012255.1	ENSSHAG00000010416.1	DTHD1
ENSSHAT00000012256.1	ENSSHAG00000010417.1	
ENSSHAT00000012257.1	ENSSHAG00000010418.1	KLC2
ENSSHAT00000012258.1	ENSSHAG00000010419.1	OR10A7
ENSSHAT00000012259.1	ENSSHAG00000010420.1	NKAIN1
ENSSHAT00000012260.1	ENSSHAG00000010421.1	
ENSSHAT00000012261.1	ENSSHAG00000010422.1	MYL12B
ENSSHAT00000012262.1	ENSSHAG00000010422.1	MYL12B
ENSSHAT00000012263.1	ENSSHAG00000010423.1	ZBTB8A
ENSSHAT00000012264.1	ENSSHAG00000010424.1	ADAMTS8
ENSSHAT00000012265.1	ENSSHAG00000010425.1	ZMYND19
ENSSHAT00000012266.1	ENSSHAG00000010426.1	HK3
ENSSHAT00000012267.1	ENSSHAG00000010427.1	VPS8
ENSSHAT00000012268.1	ENSSHAG00000010428.1	YJU2
ENSSHAT00000012269.1	ENSSHAG00000010429.1	UAP1L1
ENSSHAT00000012270.1	ENSSHAG00000010430.1	YTHDF1
ENSSHAT00000012271.1	ENSSHAG00000010431.1	
ENSSHAT00000012272.1	ENSSHAG00000010432.1	GLMN
ENSSHAT00000012273.1	ENSSHAG00000010433.1	
ENSSHAT00000012274.1	ENSSHAG00000010434.1	NMT1
ENSSHAT00000012275.1	ENSSHAG00000010435.1	WDR75
ENSSHAT00000012276.1	ENSSHAG00000010436.1	
ENSSHAT00000012277.1	ENSSHAG00000010436.1	
ENSSHAT00000012278.1	ENSSHAG00000010436.1	
ENSSHAT00000012279.1	ENSSHAG00000010437.1	IPO9
ENSSHAT00000012280.1	ENSSHAG00000010438.1	TSPAN5
ENSSHAT00000012281.1	ENSSHAG00000010439.1	CDC45
ENSSHAT00000012282.1	ENSSHAG00000010439.1	CDC45
ENSSHAT00000012283.1	ENSSHAG00000010440.1	
ENSSHAT00000012284.1	ENSSHAG00000010441.1	GLRX
ENSSHAT00000012285.1	ENSSHAG00000010442.1	MAGI3
ENSSHAT00000012286.1	ENSSHAG00000010443.1	
ENSSHAT00000012287.1	ENSSHAG00000010444.1	
ENSSHAT00000012288.1	ENSSHAG00000010445.1	
ENSSHAT00000012289.1	ENSSHAG00000010446.1	
ENSSHAT00000012290.1	ENSSHAG00000010447.1	
ENSSHAT00000012291.1	ENSSHAG00000010448.1	AGER
ENSSHAT00000012292.1	ENSSHAG00000010449.1	PRDX4
ENSSHAT00000012293.1	ENSSHAG00000010450.1	PIGF
ENSSHAT00000012294.1	ENSSHAG00000010451.1	
ENSSHAT00000012295.1	ENSSHAG00000010452.1	
ENSSHAT00000012296.1	ENSSHAG00000010453.1	
ENSSHAT00000012297.1	ENSSHAG00000010454.1	CMIP
ENSSHAT00000012298.1	ENSSHAG00000010455.1	PRPSAP2
ENSSHAT00000012299.1	ENSSHAG00000010456.1	PMM1
ENSSHAT00000012300.1	ENSSHAG00000010457.1	MTFR2
ENSSHAT00000012301.1	ENSSHAG00000010458.1	CPSF2
ENSSHAT00000012302.1	ENSSHAG00000010459.1	ALYREF
ENSSHAT00000012303.1	ENSSHAG00000010460.1	PEF1
ENSSHAT00000012304.1	ENSSHAG00000010461.1	
ENSSHAT00000012305.1	ENSSHAG00000010462.1	TLR6
ENSSHAT00000012306.1	ENSSHAG00000010463.1	NEK5
ENSSHAT00000012307.1	ENSSHAG00000010463.1	NEK5
ENSSHAT00000012308.1	ENSSHAG00000010464.1	
ENSSHAT00000012309.1	ENSSHAG00000010465.1	KCNA1
ENSSHAT00000012311.1	ENSSHAG00000010467.1	ACACB
ENSSHAT00000012312.1	ENSSHAG00000010468.1	UROS
ENSSHAT00000012313.1	ENSSHAG00000010469.1	TNFAIP3
ENSSHAT00000012314.1	ENSSHAG00000010470.1	FGF2
ENSSHAT00000012315.1	ENSSHAG00000010471.1	
ENSSHAT00000012316.1	ENSSHAG00000010472.1	
ENSSHAT00000012317.1	ENSSHAG00000010473.1	
ENSSHAT00000012318.1	ENSSHAG00000010474.1	
ENSSHAT00000012319.1	ENSSHAG00000010475.1	
ENSSHAT00000012320.1	ENSSHAG00000010476.1	
ENSSHAT00000012321.1	ENSSHAG00000010477.1	PBX2
ENSSHAT00000012322.1	ENSSHAG00000010478.1	GPRC5A
ENSSHAT00000012323.1	ENSSHAG00000010479.1	
ENSSHAT00000012324.1	ENSSHAG00000010480.1	HMX2
ENSSHAT00000012325.1	ENSSHAG00000010481.1	UBE2D1
ENSSHAT00000012326.1	ENSSHAG00000010482.1	EFHD2
ENSSHAT00000012327.1	ENSSHAG00000010483.1	
ENSSHAT00000012328.1	ENSSHAG00000010484.1	SLC37A4
ENSSHAT00000012329.1	ENSSHAG00000010485.1	
ENSSHAT00000012330.1	ENSSHAG00000010486.1	SNX31
ENSSHAT00000012331.1	ENSSHAG00000010486.1	SNX31
ENSSHAT00000012332.1	ENSSHAG00000010487.1	SYT13
ENSSHAT00000012333.1	ENSSHAG00000010488.1	GJB1
ENSSHAT00000012334.1	ENSSHAG00000010489.1	NINJ1
ENSSHAT00000012335.1	ENSSHAG00000010490.1	
ENSSHAT00000012336.1	ENSSHAG00000010491.1	
ENSSHAT00000012337.1	ENSSHAG00000010492.1	BCL7C
ENSSHAT00000012338.1	ENSSHAG00000010493.1	TMEM174
ENSSHAT00000012339.1	ENSSHAG00000010494.1	
ENSSHAT00000012340.1	ENSSHAG00000010495.1	NME5
ENSSHAT00000012341.1	ENSSHAG00000010496.1	DCAF1
ENSSHAT00000012342.1	ENSSHAG00000010496.1	DCAF1
ENSSHAT00000012343.1	ENSSHAG00000010497.1	AATF
ENSSHAT00000012344.1	ENSSHAG00000010497.1	AATF
ENSSHAT00000012345.1	ENSSHAG00000010498.1	TTPA
ENSSHAT00000012346.1	ENSSHAG00000010499.1	UPF1
ENSSHAT00000012347.1	ENSSHAG00000010500.1	ACBD5
ENSSHAT00000012348.1	ENSSHAG00000010500.1	ACBD5
ENSSHAT00000012349.1	ENSSHAG00000010501.1	DPH7
ENSSHAT00000012350.1	ENSSHAG00000010501.1	DPH7
ENSSHAT00000012351.1	ENSSHAG00000010501.1	DPH7
ENSSHAT00000012352.1	ENSSHAG00000010502.1	RHOT2
ENSSHAT00000012353.1	ENSSHAG00000010502.1	RHOT2
ENSSHAT00000012354.1	ENSSHAG00000010502.1	RHOT2
ENSSHAT00000012355.1	ENSSHAG00000010503.1	MPG
ENSSHAT00000012356.1	ENSSHAG00000010504.1	
ENSSHAT00000012357.1	ENSSHAG00000010505.1	PTX4
ENSSHAT00000012358.1	ENSSHAG00000010506.1	
ENSSHAT00000012359.1	ENSSHAG00000010506.1	
ENSSHAT00000012360.1	ENSSHAG00000010507.1	ABHD4
ENSSHAT00000012361.1	ENSSHAG00000010508.1	
ENSSHAT00000012362.1	ENSSHAG00000010509.1	GPSM3
ENSSHAT00000012363.1	ENSSHAG00000010510.1	
ENSSHAT00000012364.1	ENSSHAG00000010511.1	PAIP2
ENSSHAT00000012365.1	ENSSHAG00000010512.1	PRKAR1B
ENSSHAT00000012366.1	ENSSHAG00000010512.1	PRKAR1B
ENSSHAT00000012367.1	ENSSHAG00000010513.1	KDELR2
ENSSHAT00000012368.1	ENSSHAG00000010514.1	ATP6V1B2
ENSSHAT00000012369.1	ENSSHAG00000010515.1	
ENSSHAT00000012370.1	ENSSHAG00000010515.1	
ENSSHAT00000012371.1	ENSSHAG00000010516.1	CTF1
ENSSHAT00000012372.1	ENSSHAG00000010516.1	CTF1
ENSSHAT00000012373.1	ENSSHAG00000010517.1	DIAPH1
ENSSHAT00000012374.1	ENSSHAG00000010518.1	
ENSSHAT00000012375.1	ENSSHAG00000010518.1	
ENSSHAT00000012376.1	ENSSHAG00000010519.1	C11orf65
ENSSHAT00000012377.1	ENSSHAG00000010519.1	C11orf65
ENSSHAT00000012378.1	ENSSHAG00000010520.1	CALR3
ENSSHAT00000012379.1	ENSSHAG00000010521.1	PACS1
ENSSHAT00000012380.1	ENSSHAG00000010522.1	PPP1R36
ENSSHAT00000012381.1	ENSSHAG00000010523.1	KIF3B
ENSSHAT00000012382.1	ENSSHAG00000010524.1	
ENSSHAT00000012383.1	ENSSHAG00000010525.1	DNAJC21
ENSSHAT00000012384.1	ENSSHAG00000010526.1	NPAS2
ENSSHAT00000012385.1	ENSSHAG00000010526.1	NPAS2
ENSSHAT00000012386.1	ENSSHAG00000010527.1	LEPR
ENSSHAT00000012387.1	ENSSHAG00000010527.1	LEPR
ENSSHAT00000012388.1	ENSSHAG00000010528.1	RET
ENSSHAT00000012389.1	ENSSHAG00000010529.1	C16orf72
ENSSHAT00000012390.1	ENSSHAG00000010530.1	TSEN2
ENSSHAT00000012391.1	ENSSHAG00000010531.1	
ENSSHAT00000012392.1	ENSSHAG00000010531.1	
ENSSHAT00000012393.1	ENSSHAG00000010532.1	
ENSSHAT00000012394.1	ENSSHAG00000010533.1	
ENSSHAT00000012395.1	ENSSHAG00000010534.1	TRAPPC4
ENSSHAT00000012396.1	ENSSHAG00000010535.1	ESRRG
ENSSHAT00000012397.1	ENSSHAG00000010536.1	
ENSSHAT00000012398.1	ENSSHAG00000010537.1	ST6GAL1
ENSSHAT00000012399.1	ENSSHAG00000010537.1	ST6GAL1
ENSSHAT00000012401.1	ENSSHAG00000010539.1	
ENSSHAT00000012402.1	ENSSHAG00000010540.1	
ENSSHAT00000012403.1	ENSSHAG00000010541.1	
ENSSHAT00000012404.1	ENSSHAG00000010541.1	
ENSSHAT00000012405.1	ENSSHAG00000010541.1	
ENSSHAT00000012406.1	ENSSHAG00000010542.1	
ENSSHAT00000012407.1	ENSSHAG00000010543.1	EIF2B3
ENSSHAT00000012408.1	ENSSHAG00000010544.1	RGS1
ENSSHAT00000012409.1	ENSSHAG00000010545.1	TLCD3B
ENSSHAT00000012410.1	ENSSHAG00000010545.1	TLCD3B
ENSSHAT00000012411.1	ENSSHAG00000010546.1	ST8SIA2
ENSSHAT00000012412.1	ENSSHAG00000010547.1	
ENSSHAT00000012413.1	ENSSHAG00000010548.1	SEC23IP
ENSSHAT00000012414.1	ENSSHAG00000010549.1	
ENSSHAT00000012415.1	ENSSHAG00000010550.1	PPP2R2B
ENSSHAT00000012416.1	ENSSHAG00000010551.1	PRXL2C
ENSSHAT00000012417.1	ENSSHAG00000010552.1	
ENSSHAT00000012418.1	ENSSHAG00000010553.1	
ENSSHAT00000012419.1	ENSSHAG00000010554.1	
ENSSHAT00000012420.1	ENSSHAG00000010555.1	
ENSSHAT00000012421.1	ENSSHAG00000010556.1	SELE
ENSSHAT00000012422.1	ENSSHAG00000010556.1	SELE
ENSSHAT00000012423.1	ENSSHAG00000010557.1	
ENSSHAT00000012424.1	ENSSHAG00000010558.1	NRROS
ENSSHAT00000012425.1	ENSSHAG00000010559.1	MYBL1
ENSSHAT00000012426.1	ENSSHAG00000010560.1	CCPG1
ENSSHAT00000012427.1	ENSSHAG00000010561.1	CD53
ENSSHAT00000012428.1	ENSSHAG00000010562.1	
ENSSHAT00000012429.1	ENSSHAG00000010563.1	SHD
ENSSHAT00000012430.1	ENSSHAG00000010563.1	SHD
ENSSHAT00000012431.1	ENSSHAG00000010564.1	
ENSSHAT00000012432.1	ENSSHAG00000010565.1	
ENSSHAT00000012433.1	ENSSHAG00000010566.1	RARS2
ENSSHAT00000012434.1	ENSSHAG00000010567.1	TMEM229B
ENSSHAT00000012435.1	ENSSHAG00000010568.1	ZC3H13
ENSSHAT00000012436.1	ENSSHAG00000010569.1	
ENSSHAT00000012437.1	ENSSHAG00000010570.1	RCCD1
ENSSHAT00000012438.1	ENSSHAG00000010570.1	RCCD1
ENSSHAT00000012439.1	ENSSHAG00000010571.1	
ENSSHAT00000012440.1	ENSSHAG00000010572.1	TXNDC11
ENSSHAT00000012441.1	ENSSHAG00000010573.1	
ENSSHAT00000012442.1	ENSSHAG00000010574.1	
ENSSHAT00000012443.1	ENSSHAG00000010575.1	ALKBH6
ENSSHAT00000012444.1	ENSSHAG00000010576.1	ATP11C
ENSSHAT00000012445.1	ENSSHAG00000010576.1	ATP11C
ENSSHAT00000012446.1	ENSSHAG00000010577.1	CCDC84
ENSSHAT00000012447.1	ENSSHAG00000010578.1	
ENSSHAT00000012448.1	ENSSHAG00000010578.1	
ENSSHAT00000012449.1	ENSSHAG00000010579.1	
ENSSHAT00000012450.1	ENSSHAG00000010580.1	
ENSSHAT00000012451.1	ENSSHAG00000010581.1	
ENSSHAT00000012452.1	ENSSHAG00000010582.1	
ENSSHAT00000012454.1	ENSSHAG00000010584.1	TRABD2A
